Allemagne	2021°	Parlementaires=_part_de_femmes	31.50%	0.37
Australie	2021°	Parlementaires=_part_de_femmes	31.10%	0.378
Autriche	2021°	Parlementaires=_part_de_femmes	39.90%	0.20200000000000007
Belgique	2021°	Parlementaires=_part_de_femmes	42.00%	0.16000000000000003
Canada	2021°	Parlementaires=_part_de_femmes	29.60%	0.4079999999999999
Chili	2021°	Parlementaires=_part_de_femmes	22.60%	0.548
Colombie	2021°	Parlementaires=_part_de_femmes	18.80%	0.624
Corée	2021°	Parlementaires=_part_de_femmes	19.00%	0.62
Costa_Rica	2021°	Parlementaires=_part_de_femmes	45.60%	0.08799999999999997
Danemark	2021°	Parlementaires=_part_de_femmes	39.70%	0.20599999999999996
Espagne	2021°	Parlementaires=_part_de_femmes	44.00%	0.12
Estonie	2021°	Parlementaires=_part_de_femmes	27.70%	0.44600000000000006
Finlande	2021°	Parlementaires=_part_de_femmes	46.00%	0.07999999999999996
France	2021°	Parlementaires=_part_de_femmes	39.50%	0.20999999999999996
Grèce	2021°	Parlementaires=_part_de_femmes	21.70%	0.5660000000000001
Hongrie	2021°	Parlementaires=_part_de_femmes	12.60%	0.748
Irlande	2021°	Parlementaires=_part_de_femmes	22.50%	0.55
Islande	2021°	Parlementaires=_part_de_femmes	39.70%	0.20599999999999996
Israël	2021°	Parlementaires=_part_de_femmes	26.70%	0.46599999999999997
Italie	2021°	Parlementaires=_part_de_femmes	35.70%	0.2859999999999999
Japon	2021°	Parlementaires=_part_de_femmes	9.90%	0.802
Lettonie	2021°	Parlementaires=_part_de_femmes	29.00%	0.42000000000000004
Lituanie	2021°	Parlementaires=_part_de_femmes	27.70%	0.44600000000000006
Luxembourg	2021°	Parlementaires=_part_de_femmes	31.70%	0.366
Mexique	2021°	Parlementaires=_part_de_femmes	48.20%	0.03599999999999992
Norvège	2021°	Parlementaires=_part_de_femmes	44.40%	0.11199999999999999
Nouvelle-Zélande	2021°	Parlementaires=_part_de_femmes	48.30%	0.03400000000000003
Pays-Bas	2021°	Parlementaires=_part_de_femmes	33.30%	0.3340000000000001
Pologne	2021°	Parlementaires=_part_de_femmes	28.30%	0.43399999999999994
Portugal	2021°	Parlementaires=_part_de_femmes	40.00%	0.19999999999999996
Royaume-Uni	2021°	Parlementaires=_part_de_femmes	33.90%	0.32200000000000006
Seychelles	2021°	Parlementaires=_part_de_femmes	23.00%	0.54
Slovaquie	2021°	Parlementaires=_part_de_femmes	22.70%	0.546
Slovénie	2021°	Parlementaires=_part_de_femmes	26.70%	0.46599999999999997
Suisse	2021°	Parlementaires=_part_de_femmes	42.00%	0.16000000000000003
Suède	2021°	Parlementaires=_part_de_femmes	47.00%	0.06000000000000005
Turquie	2021°	Parlementaires=_part_de_femmes	17.30%	0.6539999999999999
États-Unis	2021°	Parlementaires=_part_de_femmes	27.30%	0.45399999999999996
Allemagne	2023°	Parlementaires=_part_de_femmes	35.10%	0.29799999999999993
Australie	2023°	Parlementaires=_part_de_femmes	38.40%	0.23199999999999998
Autriche	2023°	Parlementaires=_part_de_femmes	40.40%	0.19200000000000006
Belgique	2023°	Parlementaires=_part_de_femmes	42.70%	0.1459999999999999
Canada	2023°	Parlementaires=_part_de_femmes	30.70%	0.386
Chili	2023°	Parlementaires=_part_de_femmes	35.50%	0.29000000000000004
Colombie	2023°	Parlementaires=_part_de_femmes	28.90%	0.42200000000000004
Corée	2023°	Parlementaires=_part_de_femmes	19.10%	0.618
Costa_Rica	2023°	Parlementaires=_part_de_femmes	47.40%	0.052000000000000046
Danemark	2023°	Parlementaires=_part_de_femmes	43.60%	0.128
Espagne	2023°	Parlementaires=_part_de_femmes	42.40%	0.15200000000000002
Estonie	2023°	Parlementaires=_part_de_femmes	27.70%	0.44600000000000006
Finlande	2023°	Parlementaires=_part_de_femmes	45.50%	0.08999999999999997
France	2023°	Parlementaires=_part_de_femmes	37.80%	0.2440000000000001
Grèce	2023°	Parlementaires=_part_de_femmes	21.00%	0.5800000000000001
Hongrie	2023°	Parlementaires=_part_de_femmes	13.10%	0.738
Irlande	2023°	Parlementaires=_part_de_femmes	23.10%	0.538
Islande	2023°	Parlementaires=_part_de_femmes	47.60%	0.04799999999999993
Israël	2023°	Parlementaires=_part_de_femmes	24.20%	0.516
Italie	2023°	Parlementaires=_part_de_femmes	32.30%	0.3540000000000001
Japon	2023°	Parlementaires=_part_de_femmes	10.00%	0.8
Lettonie	2023°	Parlementaires=_part_de_femmes	29.00%	0.42000000000000004
Lituanie	2023°	Parlementaires=_part_de_femmes	28.40%	0.43200000000000005
Luxembourg	2023°	Parlementaires=_part_de_femmes	35.00%	0.30000000000000004
Mexique	2023°	Parlementaires=_part_de_femmes	50.00%	0.0
Norvège	2023°	Parlementaires=_part_de_femmes	46.20%	0.07599999999999996
Nouvelle-Zélande	2023°	Parlementaires=_part_de_femmes	50.00%	0.0
Pays-Bas	2023°	Parlementaires=_part_de_femmes	40.70%	0.18599999999999994
Pologne	2023°	Parlementaires=_part_de_femmes	28.30%	0.43399999999999994
