indicator,fr,es
"Ouvrier·es agricoles, salaire brut horaire, femmes par rapport aux hommes","Ouvrier·es agricoles, salaire brut horaire, femmes par rapport aux hommes",
"Artistes, Revenu médian des femmes par rapport aux hommes","Artistes, Revenu médian des femmes par rapport aux hommes",
"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes","Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",
"Ouvrier.es, Salaire net horaire moyen total, femmes par rapport aux hommes","Ouvrier.es, Salaire net horaire moyen total, femmes par rapport aux hommes",
"Journalisme,  salaire des femmes par rapport aux hommes","Journalisme,  salaire des femmes par rapport aux hommes",
"Salaires des femmes par rapport aux hommes ","Salaires des femmes par rapport aux hommes",
"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes",
"Artistes plasticien·ne·s, revenu médian des femmes par rapport aux hommes","Artistes plasticien·ne·s, revenu médian des femmes par rapport aux hommes",
"Services directs aux particuliers, salaire brut horaire, femmes par rapport aux hommes","Services directs aux particuliers, salaire brut horaire, femmes par rapport aux hommes",
"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",
"Journalisme,  salaire horaire en CDD des femmes par rapport aux hommes","Journalisme,  salaire horaire en CDD des femmes par rapport aux hommes",
"Métiers d’art, revenu médian des femmes par rapport aux hommes","Métiers d’art, revenu médian des femmes par rapport aux hommes",
"Ouvrier·es qualifié·es de type industriel, salaire brut horaire, femmes par rapport aux hommes","Ouvrier·es qualifié·es de type industriel, salaire brut horaire, femmes par rapport aux hommes",
"Photographes, Revenu médian des femmes par rapport aux hommes","Photographes, Revenu médian des femmes par rapport aux hommes",
"Illustrateur·rice·s, revenu médian des femmes par rapport aux hommes","Illustrateur·rice·s, revenu médian des femmes par rapport aux hommes",
"Salaire net horaire moyen total, 18 à 25 ans, femmes par rapport aux hommes","Salaire net horaire moyen total, 18 à 25 ans, femmes par rapport aux hommes",
"Salaire net horaire moyen total, 26 à 50 ans, femmes par rapport aux hommes","Salaire net horaire moyen total, 26 à 50 ans, femmes par rapport aux hommes",
"Ouvrier·es qualifié·es de type artisanal, salaire brut horaire, femmes par rapport aux hommes","Ouvrier·es qualifié·es de type artisanal, salaire brut horaire, femmes par rapport aux hommes",
"Technicien·nes, salaire brut horaire, femmes par rapport aux hommes","Technicien·nes, salaire brut horaire, femmes par rapport aux hommes",
"Dessinateur·rice·s, revenu médian des femmes par rapport aux hommes","Dessinateur·rice·s, revenu médian des femmes par rapport aux hommes",
"Salaire dans la fonction publique des femmes par rapport aux hommes","Salaire dans la fonction publique des femmes par rapport aux hommes",
"Pension moyenne de retraite des femmes par rapport aux hommes","Pension moyenne de retraite des femmes par rapport aux hommes",
"A poste et compétences égales, salaires des femmes par rapport aux hommes ","A poste et compétences égales, salaires des femmes par rapport aux hommes",
"Clergé, religieux, salaire brut horaire, femmes par rapport aux hommes","Clergé, religieux, salaire brut horaire, femmes par rapport aux hommes",
"Salaire net horaire moyen total, + de 50 ans, femmes par rapport aux hommes","Salaire net horaire moyen total, + de 50 ans, femmes par rapport aux hommes",
"Contremaîtres, agent·es de maîtrise, salaire brut horaire, femmes par rapport aux hommes","Contremaîtres, agent·es de maîtrise, salaire brut horaire, femmes par rapport aux hommes",
"Journalisme,  salaire horaire en CDI des femmes par rapport aux hommes","Journalisme,  salaire horaire en CDI des femmes par rapport aux hommes",
"Salaire net horaire moyen total, femmes par rapport aux hommes","Salaire net horaire moyen total, femmes par rapport aux hommes",
"Agent·es de surveillance, salaire brut horaire, femmes par rapport aux hommes","Agent·es de surveillance, salaire brut horaire, femmes par rapport aux hommes",
"Graphistes, revenu médian des femmes par rapport aux hommes","Graphistes, revenu médian des femmes par rapport aux hommes",
"Employé.es, Salaire net horaire moyen total, femmes par rapport aux hommes","Employé.es, Salaire net horaire moyen total, femmes par rapport aux hommes",
"Salaire moyen, femmes par rapport aux hommes","Salaire moyen, femmes par rapport aux hommes",
"Traducteur·rices, Revenu médian des femmes par rapport aux hommes","Traducteur·rices, Revenu médian des femmes par rapport aux hommes",
"Peintres, revenu médian des femmes par rapport aux hommes","Peintres, revenu médian des femmes par rapport aux hommes",
"Employé·es de commerce, salaire brut horaire, femmes par rapport aux hommes","Employé·es de commerce, salaire brut horaire, femmes par rapport aux hommes",
"Revenu salarial net annuel moyen, femmes par rapport aux hommes","Revenu salarial net annuel moyen, femmes par rapport aux hommes",
"Sculpteur·rice·s, revenu médian des femmes par rapport aux hommes","Sculpteur·rice·s, revenu médian des femmes par rapport aux hommes",
"Salaires des femmes en équivalent temps plein par rapport aux hommes","Salaires des femmes en équivalent temps plein par rapport aux hommes",
