pays,annee,nom,valeur pp%,
Pays-Bas,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",44.1,https://ec.europa.eu/eurostat/databrowser/view/tepsr_lm210/default/table?lang=fr
Autriche,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",39.3,calcul fait par eurostat
Allemagne,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",37.5,EUROSTAT
Belgique,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",29.3,EUROSTAT
Danemark,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",18.2,EUROSTAT
Suède,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",17.1,EUROSTAT
Luxembourg,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",23.8,EUROSTAT
Irlande,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",18.5,EUROSTAT
Italie,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",23.1,
France,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",19.9,EUROSTAT
Malte,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",12.7,EUROSTAT
Espagne,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",16,EUROSTAT
Finlande,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",11.3,EUROSTAT
Chypre,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",4,EUROSTAT
Grèce,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",7.4,EUROSTAT
Estonie,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",9,EUROSTAT
Portugal,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",4.5,EUROSTAT
Lettonie,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",4.5,EUROSTAT
Pologne,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",4.3,EUROSTAT
Lituanie,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",3.3,EUROSTAT
Slovaquie,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",2.8,EUROSTAT
Roumanie,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",-1.1,EUROSTAT
Croatie,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",2.3,EUROSTAT
Norvège,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",19.6,EUROSTAT
Islande,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",23.3,EUROSTAT
Zone Euro,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",25.2,EUROSTAT
UE,2021,"Emploi à temps partiel, taux des femmes par rapport à celui des hommes",20.7,EUROSTAT
