pays,annee,nom,valeur ecart neg ou pos,value Point de %,2022 Mise à jour
Auvergne-Rhône-Alpes,2018,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-19,6",,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
Bourgogne-Franche-Comté,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-25,6",,
Bretagne,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-20,0",,
Centre-Val de Loire,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-21,9",,
Corse,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-18,4",,
Grand Est,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-23,2",,
Hauts-de-France,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-21,7",,
Ile-de-France,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-13,2",,
Normandie,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-22,3",,
Nouvelle-Aquitaine,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-22,6",,
Occitanie,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-20,4",,
Pays de la Loire,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-21,9",,
Provence-Alpes-Côte d'Azur,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-16,8",,
France métropolitaine hors Ile-de-France,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-21,3",,
France métropolitaine,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-19,8",,
Guadeloupe,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-27,3",,
Martinique,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-24,7",,
Guyane,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-21,2",,
La Réunion,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-27,5",,
Mayotte,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","0,5",,
