pays,annee,nom,,valeur A / valeur B,valeur A,ensemble A,valeur B,ensemble B,ref
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes étrangères par rapport à celle des femmes françaises",3.0 fois plus,2.996388067,1118,151014,1242,502684,"https://docs.google.com/spreadsheets/d/1jnpQr_rTXSYKhOaOg5wGHkmc0EO2uJGt/edit#gid=845548632

NAT2 - Population de 15 ans ou plus par sexe, type d'activité et nationalité en 2019
Commune de Montreuil (93048)
© Insee"
Seine-Saint-Denis,2019,"Personnes actives ayant un emploi, part de femmes étrangères par rapport à celle des femmes françaises",1.3 fois moins,0.7471977834,56530,151014,251838,502684,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes étrangères par rapport à celle des femmes françaises",1.7 fois plus,1.73172352,23947,151014,46031,502684,
Seine-Saint-Denis,2019,"Élèves, étudiantes, stagiaires non rémunérés, part de femmes étrangères par rapport à celle des femmes françaises",2.3 fois moins,0.4441449283,7332,151014,54951,502684,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes françaises par acquisition par rapport à celle des femmes français de naissance",2.7 fois plus,2.672803745,10755,105045,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes portugaises par rapport à celle des femmes français de naissance",1.3 fois plus,1.335556908,677,13233,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes italiennes par rapport à celle des femmes français de naissance",2.4 fois plus,2.398063517,237,2580,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes espagnoles par rapport à celle des femmes français de naissance",1.7 fois plus,1.741957601,146,2188,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes d'autres nationalités de l'UE par rapport à celle des femmes français de naissance",3.8 fois plus,3.7765808,1668,11530,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes d'autres nationalités de l'Europe par rapport à celle des femmes français de naissance",3.9 fois plus,3.909659725,1078,7198,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes algériennes rapport à celle des femmes français de naissance",6.8 fois plus,6.840694304,6627,25290,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes marocaines rapport à celle des femmes français de naissance",8.3 fois plus,8.259907944,4492,14197,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes tuisiennes rapport à celle des femmes français de naissance",8.5 fois plus,8.476225843,2129,6557,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes d'autres nationalités d'Afrique rapport à celle des femmes français de naissance",3.4 fois plus,3.398135885,4051,31121,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes turques rapport à celle des femmes français de naissance",11.3 fois plus,11.30560497,2446,5648,15232,397639,
Seine-Saint-Denis,2019,"Personnes au foyer, part de femmes d'autres nationalités rapport à celle des femmes français de naissance",6.0 fois plus,5.999653435,7233,31472,15232,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes françaises par acquisition par rapport à celle des femmes français de naissance",1.5 fois plus,1.542780914,13328,105045,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes portugaises par rapport à celle des femmes français de naissance",1.5 fois moins,0.6781296102,738,13233,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes italiennes par rapport à celle des femmes français de naissance",1.1 fois plus,1.135826496,241,2580,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes espagnoles par rapport à celle des femmes français de naissance",1.2 fois plus,1.194829127,215,2188,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes d'autres nationalités de l'UE par rapport à celle des femmes français de naissance",1.8 fois plus,1.828666229,1734,11530,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes d'autres nationalités de l'Europe par rapport à celle des femmes français de naissance",1.6 fois plus,1.562588232,925,7198,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes algériennes rapport à celle des femmes français de naissance",2.1 fois plus,2.132354729,4435,25290,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes marocaines rapport à celle des femmes français de naissance",2.1 fois plus,2.112940297,2467,14197,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes tuisiennes rapport à celle des femmes français de naissance",2.6 fois plus,2.629575871,1418,6557,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes d'autres nationalités d'Afrique rapport à celle des femmes français de naissance",2.6 fois plus,2.592009461,6634,31121,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes turques rapport à celle des femmes français de naissance",1.6 fois plus,1.580214457,734,5648,32702,397639,
Seine-Saint-Denis,2019,"Personnes au chômage, part de femmes d'autres nationalités rapport à celle des femmes français de naissance",1.7 fois plus,1.702294943,4406,31472,32702,397639,
