PAYS,Année,Data,Valeur %,Femmes,Hommes,Ensemble,REFerence doc
Seine-Saint-Denis,2021,"Victimes présumé·es de violences sexuelles sur mineur·es, part de filles",83.1,123,25,148,https://drive.google.com/file/d/1ppf7scS38LSgCbHDUDiT_PnTP1QYMl0h/view
Seine-Saint-Denis,2021,"Co-victimes mineur·es de violences congugales, part de filles",59.45945946,44,30,74,
Seine-Saint-Denis,2021,"Victimes mineur·es de mariages forcés, part de filles",100,11,0,11,
Seine-Saint-Denis,2021,"Victimes reçues à l’Unité spécialisée d'accompagnement au psychotraumatisme de l'hopital Robert Ballanger, part de femmes",84.9,,,,
Seine-Saint-Denis,2021,"Patient·es reçu·es en consultation de victimologies, part de femmes",57.2,,,,
Seine-Saint-Denis,2021,"Personnes prises en charges par le service psycho traumatologique, part de femmes",93.18181818,369,27,396,
Seine-Saint-Denis,2021,"Au sein des clubs sportifs, auteur·ices de violences, part de femmes",0,,,,https://drive.google.com/file/d/1kgQ2cpCuLiGlkhZHoAnOhWIT87b4afJj/view
Seine-Saint-Denis,2013,"Auteur·rices de violences conjugales, avec poursuite pénal, part de femmes",3,,,,https://drive.google.com/file/d/1548zIXnG5FwcvKVSUXdPk4sax5eCui3C/view
Seine-Saint-Denis,2013,"Auteur·rices de violences conjugales, reconnu·es coupables, part de femmes",3,,,,https://drive.google.com/file/d/1548zIXnG5FwcvKVSUXdPk4sax5eCui3C/view
Seine-Saint-Denis,2015,"Parmi les victimes de viol dont le dossier est traité au tribunal de Bobigny, part de femmes",90,,,,https://drive.google.com/file/d/1548zIXnG5FwcvKVSUXdPk4sax5eCui3C/view
Seine-Saint-Denis,2015,"Parmi les victimes mineur·es de viol dont le dossier est traité au tribunal de Bobigny, part de filles",79,,,,
Seine-Saint-Denis,2015,"Parmi les victimes d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de femmes",91,,,,
Seine-Saint-Denis,2015,"Parmi les victimes mineur·es d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de filles",86,,,,
Seine-Saint-Denis,2015,"Parmi les mineur·es de moins de 13 ans, victimes d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de filles",87,,,,
Seine-Saint-Denis,2015,"Parmi les auteur·rices de viol ayant agi seul·e, part de femmes",0,,,,
Seine-Saint-Denis,2015,"Parmi les auteur·rices d'agression sexuelle ayant agi seul·e, part de femmes",0,,,,
Seine-Saint-Denis,2015,"Parmi les auteur·rices de viol n'ayant pas agi seul·e, part de femmes",1.111111111,1,89,90,
Seine-Saint-Denis,2015,"Parmi les auteur·rices d'agression sexuelle n'ayant pas agi seul·e, part de femmes",2.51572327,4,155,159,
Seine-Saint-Denis,2015,"Parmi les victimes mineur·es de viol / d'agression sexuelle dont le dossier est traité au tribunal pour enfants de Bobigny, part de filles",88.70967742,55,7,62,
Seine-Saint-Denis,2015,"Parmi les auteur·rices mineures de viol / d'agression sexuelle dont le dossier est traité au tribunal pour enfants de Bobigny, part de femmes",0,,,,
