pays,annee,nom,part de femmes
France,2019,"Personnel de recherche, part de femmes",32
France,2019,"Chercheur·es, part de femmes",28
France,2019,"Chercheur·es en entreprise, part de femmes",21.7
Portugal,2019,"Chercheur·es en entreprise, part de femmes",29
Slovaquie,2019,"Chercheur·es en entreprise, part de femmes",26
Slovaquie,2019,"Chercheur·es, part de femmes",41
Espagne,2019,"Chercheur·es en entreprise, part de femmes",31
Royaume-Uni,2019,"Chercheur·es, part de femmes",39
Royaume-Uni,2019,"Chercheur·es en entreprise, part de femmes",21
Norvège,2019,"Chercheur·es, part de femmes",49
Norvège,2019,"Chercheur·es en entreprise, part de femmes",24
Autriche,2019,"Chercheur·es, part de femmes",30
Pologne,2019,"Chercheur·es en entreprise, part de femmes",23
Turquie,2019,"Chercheur·es, part de femmes",38
Turquie,2019,"Chercheur·es en entreprise, part de femmes",27
Finlande,2019,"Chercheur·es, part de femmes",32
Finlande,2019,"Chercheur·es en entreprise, part de femmes",18
Chili,2019,"Chercheur·es, part de femmes",35
Chili,2019,"Chercheur·es en entreprise, part de femmes",31
Italie,2019,"Chercheur·es en entreprise, part de femmes",21
Japon,2019,"Chercheur·es, part de femmes",28
Japon,2019,"Chercheur·es en entreprise, part de femmes",10
Allemagne,2019,"Chercheur·es en entreprise, part de femmes",13
Allemagne,2019,"Chercheur·es, part de femmes",28
Hongrie,2019,"Chercheur·es en entreprise, part de femmes",18
Hongrie,2019,"Chercheur·es, part de femmes",29
Corée du Sud,2019,"Chercheur·es en entreprise, part de femmes",18
Corée du Sud,2019,"Chercheur·es, part de femmes",21
Luxembourg,2019,"Chercheur·es, part de femmes",29
Luxembourg,2019,"Chercheur·es en entreprise, part de femmes",16
France,2019,"Chercheur·es en entreprise de télécommunications, part de femmes",21
France,2019,"Chercheur·es en entreprise audiovisuelle, part de femmes",17
France,2019,"Chercheur·es en entreprise informatique, part de femmes",16
France,2019,"Chercheur·es en industrie automobile, part de femmes",15
France,2019,"Chercheur·es en équipement communication, part de femmes",14
France,2019,"Chercheur·es en équipement électrique, part de femmes",12
France,2019,"Recherche en mathématique et informatique, part de femmes",15
France,2019,"Recherche en sciences médicales, part de femmes",61
France,2019,"Recherche en sciences biologiques, part de femmes",57
France,2019,"Recherche en sciences sociales, part de femmes",37
France,2019,"Recherche en sciences physiques, part de femmes",20
France,2019,"Recherche en sciences de l'environnement, part de femmes",35
France,2019,"Ingénieur·e-chercheur·e,  part de femmes",15
France,2017,"Ingénieur·es, technicien·nes, de recherche et de formation, ingénieur·es de recherche, part de femmes",37
France,2017,"Ingénieur·es, technicien·nes, de recherche et de formation, ingénieur·es d’étude, part de femmes",52.2
France,2017,"Ingénieur·es, technicien·nes, de recherche et de formation, assistant·es Ingénieur·es, part de femmes",49.9
France,2017,"Ingénieur·es, technicien·nes, de recherche et de formation, technicien·nes de recherche, part de femmes",55.9
France,2017,"Ingénieur·es, technicien·nes, de recherche et de formation, adjoint·es techniques, part de femmes",60.6
France,2017,"Administration sociale et de santé,  administration civile, part de femmes, part de femmes",50.8
France,2017,"Administration sociale et de santé, Personnels de direction AC et EPES, part de femmes",35.2
France,2017,"Administration sociale et de santé,Attaché·es d’administration d’État, part de femmes",66.3
France,2017,"Administration sociale et de santé, Infirmier·es, part de femmes",96.8
France,2017,"Administration sociale et de santé, Secrétaires d’administration, part de femmes",84.7
France,2017,"Administration sociale et de santé, Assistant·es de service social & infirmier·es, part de femmes",96.9
France,2017,"Administration sociale et de santé, adjoint·es administratif·ves, part de femmes",89.6
