indicator,fr,es
"Administration sociale et de santé, adjoint·es administratif·ves, part de femmes","Administration sociale et de santé, adjoint·es administratif·ves, part de femmes",
"Universités, droit, économie, part de femmes","Universités, droit, économie, part de femmes",
"Contrats d’apprentissage dans le secteur privé, part de femmes","Contrats d’apprentissage dans le secteur privé, part de femmes",
"Administration sociale et de santé,  administration civile, part de femmes, part de femmes","Administration sociale et de santé,  administration civile, part de femmes, part de femmes",
"Recherche en mathématique et informatique, part de femmes","Recherche en mathématique et informatique, part de femmes",
"Personnel d’orientation, part de femmes","Personnel d’orientation, part de femmes",
"Enseignant·es de catégorie A, part de femmes","Enseignant·es de catégorie A, part de femmes",
"Ingénieur·es, technicien·nes, de recherche et de formation, technicien·nes de recherche, part de femmes","Ingénieur·es, technicien·nes, de recherche et de formation, technicien·nes de recherche, part de femmes",
"Administration sociale et de santé, Assistant·es de service social & infirmier·es, part de femmes","Administration sociale et de santé, Assistant·es de service social & infirmier·es, part de femmes",
"Maître·esse de conférence, lettre et sciences humaines, part de femmes","Maître·esse de conférence, lettre et sciences humaines, part de femmes",
"Apprenti·es préparant un diplôme d’enseignement supérieur, Master, part de femmes","Apprenti·es préparant un diplôme d’enseignement supérieur, Master, part de femmes",
"Administration sociale et de santé, adjoint·es techniques, part de femmes","Administration sociale et de santé, adjoint·es techniques, part de femmes",
"Bibliothèques, Bibliothécaires adjoint·es et technicien·nes, part de femmes","Bibliothèques, Bibliothécaires adjoint·es et technicien·nes, part de femmes",
"Diplômé·es d'un Doctorat, part de femmes","Diplômé·es d'un Doctorat, part de femmes",
"Administration sociale et de santé, Secrétaires d’administration, part de femmes","Administration sociale et de santé, Secrétaires d’administration, part de femmes",
"Ingénieur·es, technicien·nes, de recherche et de formation, adjoint·es techniques, part de femmes","Ingénieur·es, technicien·nes, de recherche et de formation, adjoint·es techniques, part de femmes",
"Écoles d'ingenieur·es, part de femmes","Écoles d'ingenieur·es, part de femmes",
"Administration sociale et de santé, Personnels de direction AC et EPES, part de femmes","Administration sociale et de santé, Personnels de direction AC et EPES, part de femmes",
"Universités, lettre et sciences humaines, part de femmes","Universités, lettre et sciences humaines, part de femmes",
"Maître·esse de conférence, droit et économie, part de femmes","Maître·esse de conférence, droit et économie, part de femmes",
"Maître·esse de conférence, santé et médecine, part de femmes","Maître·esse de conférence, santé et médecine, part de femmes",
"Bibliothèques, Magasinier·es, part de femmes","Bibliothèques, Magasinier·es, part de femmes",
"Universités, science, STAPS, part de femmes","Universités, science, STAPS, part de femmes",
"Recherche en sciences médicales, part de femmes","Recherche en sciences médicales, part de femmes",
"Recherche en sciences sociales, part de femmes","Recherche en sciences sociales, part de femmes",
"Conseiller·es principal·es d’éducation, part de femmes","Conseiller·es principal·es d’éducation, part de femmes",
"Enseignant·es du 2nd degré, lettre et sciences humaines, part de femmes","Enseignant·es du 2nd degré, lettre et sciences humaines, part de femmes",
"Apprenti·es préparant un diplôme d’enseignement supérieur, DUT, part de femmes","Apprenti·es préparant un diplôme d’enseignement supérieur, DUT, part de femmes",
"Universités, médecine, pharmacie, part de femmes","Universités, médecine, pharmacie, part de femmes",
"Chercheur·es, part de femmes","Chercheur·es, part de femmes",
"Inspecteur·rices de l'éducation nationale et inspecteur·rices d'académie, part de femmes","Inspecteur·rices de l'éducation nationale et inspecteur·rices d'académie, part de femmes",
"Bibliothèques, Bibliothécaires, part de femmes","Bibliothèques, Bibliothécaires, part de femmes",
"Chercheur·es, 55 ans ou plus, part de femmes","Chercheur·es, 55 ans ou plus, part de femmes",
"Professeur·es des universités, droit et économie, part de femmes","Professeur·es des universités, droit et économie, part de femmes",
"Chercheur·es en industrie automobile, part de femmes","Chercheur·es en industrie automobile, part de femmes",
"Maître·esse de conférence, sciences et tecnhiques, part de femmes","Maître·esse de conférence, sciences et tecnhiques, part de femmes",
"Chercheur·es en entreprise, part de femmes","Chercheur·es en entreprise, part de femmes",
"Ingénieur·es, technicien·nes, de recherche et de formation, ingénieur·es de recherche, part de femmes","Ingénieur·es, technicien·nes, de recherche et de formation, ingénieur·es de recherche, part de femmes",
"Recherche en sciences de l'environnement, part de femmes","Recherche en sciences de l'environnement, part de femmes",
"Apprenti·es préparant un diplôme d’enseignement supérieur, diplômes d’ingénieur·es, part de femmes","Apprenti·es préparant un diplôme d’enseignement supérieur, diplômes d’ingénieur·es, part de femmes",
"Enseignant·es du 2nd degré, sciences et tecnhiques, part de femmes","Enseignant·es du 2nd degré, sciences et tecnhiques, part de femmes",
"Diplômé·es de Licence, part de femmes","Diplômé·es de Licence, part de femmes",
"Chercheur·es en équipement communication, part de femmes","Chercheur·es en équipement communication, part de femmes",
"Chercheur·es en entreprise de télécommunications, part de femmes","Chercheur·es en entreprise de télécommunications, part de femmes",
"Chercheur·es en équipement électrique, part de femmes","Chercheur·es en équipement électrique, part de femmes",
"Ingénieur·es, technicien·nes, de recherche et de formation, assistant·es Ingénieur·es, part de femmes","Ingénieur·es, technicien·nes, de recherche et de formation, assistant·es Ingénieur·es, part de femmes",
"Enseignement supérieur, part de femmes","Enseignement supérieur, part de femmes",
"Recherche en sciences physiques, part de femmes","Recherche en sciences physiques, part de femmes",
