STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TECH,Technology domain,UNIT_MEASURE,Measure,SIZE,Family size,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2015,,13.5235732009913,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2016,,10.487804878048,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2017,,11.0599078341016,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2018,,18.0094786729847,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2019,,15.5223880597019,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2020,,19.6577017114918,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2021,,12.9449838187697,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2022,,19.5652173913048,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUT,Austria,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2015,,6.55425219941355,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUT,Austria,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2016,,1.5671880187161,,A,Normal value,0,Units,2,Two
