"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",24.7,,
"AUS","Australia","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",26.7,,
"AUS","Australia","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",28.7,,
"AUS","Australia","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",30,,
"AUS","Australia","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",31.1,,
"AUS","Australia","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",20.7,,
"AUS","Australia","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",17.2,,
"AUS","Australia","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",24.1,,
"AUS","Australia","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",21.4,,
"AUS","Australia","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",26.67,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",16.92,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",16.73,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",17.15,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",17.13,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",16.9,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",16.79,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",16.78,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",16.78,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",16.94,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",16.96,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",16.88,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",16.75,,
"AUT","Austria","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",16.67,,
"AUT","Austria","EMPGG","Employment in general government","2007","2007",678.8,,
"AUT","Austria","EMPGG","Employment in general government","2008","2008",684,,
"AUT","Austria","EMPGG","Employment in general government","2009","2009",697.7,,
"AUT","Austria","EMPGG","Employment in general government","2010","2010",702.1,,
"AUT","Austria","EMPGG","Employment in general government","2011","2011",703.4,,
"AUT","Austria","EMPGG","Employment in general government","2012","2012",706.2,,
"AUT","Austria","EMPGG","Employment in general government","2013","2013",707.9,,
"AUT","Austria","EMPGG","Employment in general government","2014","2014",714.8,,
"AUT","Austria","EMPGG","Employment in general government","2015","2015",725.8,,
"AUT","Austria","EMPGG","Employment in general government","2016","2016",736.1,,
"AUT","Austria","EMPGG","Employment in general government","2017","2017",744.7,,
"AUT","Austria","EMPGG","Employment in general government","2018","2018",751.6,,
"AUT","Austria","EMPGG","Employment in general government","2019","2019",756.7,,
"AUT","Austria","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",27.9,,
"AUT","Austria","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",30.6,,
"AUT","Austria","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",30.6,,
"AUT","Austria","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",37.2,,
"AUT","Austria","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",39.9,,
"AUT","Austria","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",46.2,,
"AUT","Austria","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",30.8,,
"AUT","Austria","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",23.1,,
"AUT","Austria","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",38.5,,
"AUT","Austria","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",57.14,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",18.49,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",18.39,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",18.89,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",18.92,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",18.75,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",18.68,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",18.76,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",19.01,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",18.84,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",18.66,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",18.54,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",18.41,,
"BEL","Belgium","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",18.29,,
"BEL","Belgium","EMPGG","Employment in general government","2007","2007",812.4,,
"BEL","Belgium","EMPGG","Employment in general government","2008","2008",822.4,,
"BEL","Belgium","EMPGG","Employment in general government","2009","2009",843.5,,
"BEL","Belgium","EMPGG","Employment in general government","2010","2010",850.1,,
"BEL","Belgium","EMPGG","Employment in general government","2011","2011",853.8,,
"BEL","Belgium","EMPGG","Employment in general government","2012","2012",854.3,,
"BEL","Belgium","EMPGG","Employment in general government","2013","2013",855.4,,
"BEL","Belgium","EMPGG","Employment in general government","2014","2014",870.1,,
"BEL","Belgium","EMPGG","Employment in general government","2015","2015",870,,
"BEL","Belgium","EMPGG","Employment in general government","2016","2016",872.6,,
"BEL","Belgium","EMPGG","Employment in general government","2017","2017",880.3,,
"BEL","Belgium","EMPGG","Employment in general government","2018","2018",886.9,,
"BEL","Belgium","EMPGG","Employment in general government","2019","2019",895.3,,
"BEL","Belgium","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",38,,
"BEL","Belgium","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",39.3,,
"BEL","Belgium","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",38,,
"BEL","Belgium","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",38,,
"BEL","Belgium","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",42,,
"BEL","Belgium","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",41.7,,
"BEL","Belgium","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",23.1,,
"BEL","Belgium","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",23.1,,
"BEL","Belgium","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",25,,
"BEL","Belgium","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",57.14,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",19.36,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",19.54,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",20.39,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",20.03,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",19.87,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",19.66,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",19.56,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",19.57,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",19.51,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",19.67,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",19.53,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",19.77,,
"CAN","Canada","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",19.87,,
"CAN","Canada","EMPGG","Employment in general government","2007","2007",3298.64,,
"CAN","Canada","EMPGG","Employment in general government","2008","2008",3378.24,,
"CAN","Canada","EMPGG","Employment in general government","2009","2009",3463.52,,
"CAN","Canada","EMPGG","Employment in general government","2010","2010",3465.52,,
"CAN","Canada","EMPGG","Employment in general government","2011","2011",3491.35,,
"CAN","Canada","EMPGG","Employment in general government","2012","2012",3492.42,,
"CAN","Canada","EMPGG","Employment in general government","2013","2013",3520.2,,
"CAN","Canada","EMPGG","Employment in general government","2014","2014",3541.54,,
"CAN","Canada","EMPGG","Employment in general government","2015","2015",3560.62,,
"CAN","Canada","EMPGG","Employment in general government","2016","2016",3626.98,,
"CAN","Canada","EMPGG","Employment in general government","2017","2017",3669.26,,
"CAN","Canada","EMPGG","Employment in general government","2018","2018",3763.28,,
"CAN","Canada","EMPGG","Employment in general government","2019","2019",3863.85,,
"CAN","Canada","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",24.7,,
"CAN","Canada","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",26,,
