indicator,fr,es
"Percentage of women","Parlementaires, part_de_femmes",
Bank account ownership,"Détention de comptes bancaires, part des femmes par rapport à celle des hommes",
Percentage of patents,"Inventeur·trices, part de femmes",
House ownership,"Propriétaires d'une maison, part des femmes par rapport à celle des hommes",
Gender equality in cabinet ministerial positions,"Postes ministériels, part de femmes",
Gender equality in appeal courts,"Cour d’appel, part de femmes",
Gender equality in courts of first instance,"Tribunaux de première instance, part de femmes",
Gender equality in public sector employment,"Secteur public, part de femmes",
Gender equality in supreme courts,"Cours suprêmes, part de femmes",
Members of parliament aged 40 and under,"Parlementaires de moins de 40 ans, part_de_femmes",
Employment in government,"Emploi au sein du gouvernement, part de femmes",
Gender equality in senior management positions in national administrations,"Postes de direction dans les administrations nationales, part des femmes",
Gender equality in total employment,"Secteur public, part de femmes",
Gender equality in professional judges,"Juges, part de femmes",
"Gender equality in parliament","Gender equality in parliament",
